procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0 142280   9348   1492  37500  364    0   364     0  987 1216 48  9 43  0
 2  0 142268   9128   1500  37564   24    0    24    48 1448 1254 78 20  2  0
 1  1 142244   8908   1500  37540   92    0    92     0 1488 1087 86 12  2  0
 1  2 144008   9468   1492  36400  816 2128   944  2472 3233 2517 72 17  9  1
 1  0 144400  10300   1488  36384  412  640   564   640 1193  833 62  6 31  1
 2  0 144260  10080   1488  36392  448    0   448     0 1128  753 80 17  4  0
 3  0 144220   9908   1496  36404   88    0    88    48 1484 1187 81 17  1  0
 2  0 144164   9768   1496  36512   88    0    88     0 2000 1824 81 16  3  0
 2  0 144096   9520   1496  36512  120    0   120     0  929  747 86 14  1  0
 2  0 143836   8844   1496  36604  468    0   496     0 2109 2050 76 21  3  0
 2  0 145004   8708   1496  36640  324 1336   548  1336 2631 2082 77 16  7  1
 2  0 144900   9348   1504  36640  176    0   176    32 1127  891 84 15  2  0
 2  0 144828   9380   1504  36648   80    0    80     0 1122  648 82 16  1  0
 2  0 144732   9380   1504  36616  128    0   128     0  917  559 84 12  4  0
 2  0 144668   9256   1504  36652   16    0    16     0 1296 1341 80 17  3  0
 4  0 144596   8304   1504  36756  116    0   116     0 2512 2333 78 20  3  0
 2  1 144492   8484   1504  36480  368  112   368   112 2002 1507 75 13  8  4
 2  0 144588   9004   1504  36308   96  116    96   116 1369  784 81 16  3  0
 2  0 144388   8756   1504  36308  280    0   280     0 1301  860 84 15  1  0
 4  0 144212   8556   1512  36340  284    0   284    28 1651 1332 81 16  2  0
 2  1 144116   8468   1512  36028  400  236   400   236 1726  803 85 12  4  0
 3  0 145996  10020   1504  35144  588 2232   672  2232 5228 2344 76 18  2  4
 2  0 145700  10456   1504  35192  416    0   416     0 1659 2515 76 11 12  0
 3  0 145512   9896   1504  35204  356    0   356     0 1196  977 82 13  4  0
 2  0 145364   9348   1512  35224  328    0   328    28 1583 1111 76 15  9  0
 2  0 145360   9268   1512  35256    0    0     0     0 1432 1148 83 15  2  0
 4  0 145336   9220   1512  35296   44    0    44     0 1536 1116 82 16  2  0
 2  0 146888   9336   1512  34672  860 1928   872  1928 3728 2258 78 16  5  1
 3  0 146752  10120   1512  34744  264    0   264     0  900  618 84 15  1  0
 2  0 146660   9936   1520  34864  116    0   188    32 1328 1221 80 16  3  0
 5  0 146568   9712   1520  34912  236    0   236     0 1236  803 74 13 13  0
 2  0 146408   9536   1520  34948  204    0   204     0 1635 1466 81 15  5  0
 2  0 146308   9272   1520  34992  156    0   156     0  956  699 85 14  1  0
 2  0 146308   9288   1520  34948    0    0     0    20 1123  778 86 14  0  0
 3  2 144920   7792   1520  34868 1884    0  1884     0 1564 1232 83 14  2  0
 2  0 147316  10424   1364  33412  540 2848   560  3832 4636 2187 80 18  1  2
 1  0 148860  11244   1144  33224  860 1928   876  1928 3129 2383 76 18  6  0
 2  0 148612  11636   1144  33204  432    0   432     0 1114 1240 76 12 12  0
 3  0 148612  11876   1144  33272    0    0    40     0  929  659 80 18  2  0
 2  0 148244  11256   1144  33284  856    0   856     0 1401 1027 83 14  4  0
 4  0 148076  11132   1152  33344  144    0   200   220 1063  856 82 17  1  0
 1  0 151188  10908    908  33392 2504 4400  3148  4704 5666 5076 68 19 12  2
 1  0 150528   9956    908  33588  792    0   960     0 1031 1450 49  2 48  0
 1  0 149992   9616    908  33596  780    0   780     0  987 1443 41  2 56  0
 1  0 149976  11232    908  33596   32    0    32     0  575  388 21  3 75  0
 2  0 149940  11500    916  33560   56    0    56    60 1067  981 84 13  3  0
 2  0 149880  11404    916  33604   48    0    48     0 1011  849 84 15  2  0
 2  0 149844  11248    916  33612   32    0    32     0  938  701 81 16  3  0
 2  0 149672  11092    916  33640  160    0   160     0 1257 1153 81 14  4  0
 2  0 149620  10664    916  33652   92    0    92     0 1123 1041 82 14  5  0
 2  0 149572  10600    916  33656   60    0    60     0  843  590 83 17  1  0
 2  0 149552  10444    924  33648   16    0    16    28 1005  562 83 14  3  0
 2  0 149500  10412    924  33660  104    0   104     0 1024  666 86 13  2  0
 2  0 149440  10288    924  33668   20    0    20     0  907  657 81 18  1  0
 3  0 149332  10140    924  33692   64    0    64     0 1077  899 80 14  7  0
 2  0 149296  10148    924  33700   16    0    16     0  802  475 85 14  1  0
 3  0 149048   9912    924  33752  156    0   156     0 1997 1649 78 16  6  0
 2  0 148508   8680    932  33884  752    0   752    28 2109 2666 59 11 29  0
 2  0 148476   8912    932  33860    0    0     0     0  914  716 79 12  8  0
 2  0 148432   8664    932  33864  140    0   140     0 1304  814 80 17  3  0
 2  0 148432   8632    932  33884    0    0     0     0 1234  918 82 17  1  0
 2  0 148432   8696    932  33892    0    0     0     0  975  684 87 13  1  0
 2  0 148324   8448    940  33884  184    0   184    28  793  479 83 17  0  0
 2  0 148288   8448    940  33892   48    0    48     0  903  539 86 13  1  0
 2  0 148220   8324    940  33896   68    0    68     0  869  657 84 14  1  0
